team1,team2,possession team1,possession team2,possession in contest,number of goals team1,number of goals team2,on target attempts team1,on target attempts team2,,,,,,,,,,,
QATAR,ECUADOR,42%,50%,8%,0,2,0,3,,,,,,,,,,,
ENGLAND,IRAN,72%,19%,9%,6,2,7,3,,,,,,,,,,,
SENEGAL,NETHERLANDS,44%,45%,11%,0,2,3,3,,,,,,,,,,,
UNITED STATES,WALES,51%,39%,10%,1,1,1,3,,,,,,,,,,,
ARGENTINA,SAUDI ARABIA,64%,24%,12%,1,2,6,2,,,,,,,,,,,
DENMARK,TUNISIA,55%,33%,12%,0,0,4,1,,,,,,,,,,,
MEXICO,POLAND,54%,31%,15%,0,0,4,1,,,,,,,,,,,
FRANCE,AUSTRALIA,56%,35%,9%,4,1,7,1,,,,,,,,,,,
MOROCCO,CROATIA,32%,57%,12%,0,0,2,2,,,,,,,,,,,
GERMANY,JAPAN,65%,22%,13%,1,2,9,3,,,,,,,,,,,
SPAIN,COSTA RICA,74%,17%,9%,7,0,7,0,,,,,,,,,,,
BELGIUM,CANADA,46%,43%,11%,1,0,3,4,,,,,,,,,,,
SWITZERLAND,CAMEROON,43%,46%,11%,1,0,3,3,,,,,,,,,,,
URUGUAY,KOREA REPUBLIC,49%,38%,13%,0,0,0,0,,,,,,,,,,,
PORTUGAL,GHANA,55%,35%,10%,3,2,5,3,,,,,,,,,,,
BRAZIL,SERBIA,53%,34%,13%,2,0,10,0,,,,,,,,,,,
WALES,IRAN,51%,33%,16%,0,2,3,6,,,,,,,,,,,
QATAR,SENEGAL,42%,48%,10%,1,3,2,4,,,,,,,,,,,
NETHERLANDS,ECUADOR,48%,39%,13%,1,1,1,5,,,,,,,,,,,
ENGLAND,UNITED STATES,51%,40%,9%,0,0,3,2,,,,,,,,,,,
TUNISIA,AUSTRALIA,50%,31%,19%,0,1,4,2,,,,,,,,,,,
POLAND,SAUDI ARABIA,30%,57%,14%,2,0,3,5,,,,,,,,,,,
FRANCE,DENMARK,44%,44%,12%,2,1,6,2,,,,,,,,,,,
ARGENTINA,MEXICO,50%,36%,14%,2,0,2,1,,,,,,,,,,,
JAPAN,COSTA RICA,48%,39%,13%,0,1,3,1,,,,,,,,,,,
BELGIUM,MOROCCO,56%,32%,12%,0,2,4,4,,,,,,,,,,,
CROATIA,CANADA,41%,46%,13%,4,1,10,2,,,,,,,,,,,
SPAIN,GERMANY,56%,33%,11%,1,1,3,4,,,,,,,,,,,
CAMEROON,SERBIA,38%,49%,13%,3,3,8,6,,,,,,,,,,,
KOREA REPUBLIC,GHANA,53%,32%,15%,2,3,6,3,,,,,,,,,,,
BRAZIL,SWITZERLAND,51%,40%,9%,1,0,5,0,,,,,,,,,,,
PORTUGAL,URUGUAY,53%,35%,12%,2,0,4,3,,,,,,,,,,,
NETHERLANDS,QATAR,54%,38%,8%,2,0,4,4,,,,,,,,,,,
ECUADOR,SENEGAL,51%,32%,17%,1,2,4,5,,,,,,,,,,,
WALES,ENGLAND,33%,58%,10%,0,3,1,7,,,,,,,,,,,
IRAN,UNITED STATES,42%,45%,13%,0,1,2,5,,,,,,,,,,,
AUSTRALIA,DENMARK,24%,60%,16%,1,0,4,3,,,,,,,,,,,
TUNISIA,FRANCE,30%,56%,14%,1,0,3,3,,,,,,,,,,,
POLAND,ARGENTINA,24%,67%,9%,0,2,0,13,,,,,,,,,,,
SAUDI ARABIA,MEXICO,29%,55%,17%,1,2,2,10,,,,,,,,,,,
CROATIA,BELGIUM,43%,47%,10%,0,0,4,4,,,,,,,,,,,
CANADA,MOROCCO,52%,36%,12%,1,2,0,2,,,,,,,,,,,
JAPAN,SPAIN,14%,78%,8%,2,1,3,5,,,,,,,,,,,
COSTA RICA,GERMANY,27%,60%,13%,2,4,6,11,,,,,,,,,,,
GHANA,URUGUAY,46%,39%,15%,0,2,4,7,,,,,,,,,,,
KOREA REPUBLIC,PORTUGAL,34%,55%,11%,2,1,6,4,,,,,,,,,,,
SERBIA,SWITZERLAND,45%,41%,14%,2,3,4,7,,,,,,,,,,,
CAMEROON,BRAZIL,31%,56%,13%,1,0,3,6,,,,,,,,,,,
NETHERLANDS,UNITED STATES,33%,54%,13%,3,1,6,7,,,,,,,,,,,
ARGENTINA,AUSTRALIA,53%,35%,12%,2,1,5,2,,,,,,,,,,,
FRANCE,POLAND,48%,42%,10%,3,1,7,3,,,,,,,,,,,
ENGLAND,SENEGAL,54%,35%,11%,3,0,4,2,,,,,,,,,,,
JAPAN,CROATIA,35%,51%,14%,1,1,4,4,,,,,,,,,,,
BRAZIL,KOREA REPUBLIC,47%,44%,9%,4,1,9,6,,,,,,,,,,,
MOROCCO,SPAIN,22%,68%,10%,0,0,3,1,,,,,,,,,,,
PORTUGAL,SWITZERLAND,43%,48%,9%,6,1,9,1,,,,,,,,,,,
CROATIA,BRAZIL,45%,45%,10%,1,1,1,11,,,,,,,,,,,
NETHERLANDS,ARGENTINA,45%,44%,11%,2,2,2,6,,,,,,,,,,,
MOROCCO,PORTUGAL,22%,65%,13%,1,0,3,3,,,,,,,,,,,
ENGLAND,FRANCE,54%,36%,10%,1,2,6,5,,,,,,,,,,,
ARGENTINA,CROATIA,34%,54%,12%,3,0,7,3,,,,,,,,,,,
FRANCE,MOROCCO,34%,55%,11%,2,0,2,1,,,,,,,,,,,
CROATIA,MOROCCO,45%,45%,10%,2,1,4,2,,,,,,,,,,,
ARGENTINA,FRANCE,46%,40%,14%,3,3,9,5,,,,,,,,,,,
