stage,date,pens,pens_home_score,pens_away_score,team_name_home,team_name_away,team_home_score,team_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,,
 Final ,11.07.2021,TRUE,3,2, Italy , England ,1,1,66%,34%,19,6,6,2,,
 Semi-finals , 07.07.2021 ,FALSE,FALSE,FALSE, England , Denmark ,2,1,59%,41%,20,6,10,3,,
 Semi-finals ,06.07.2021,TRUE,4,2, Italy , Spain ,1,1,29%,71%,7,16,4,5,,
 Quarter-finals , 03.07.2021 ,FALSE,FALSE,FALSE, Ukraine , England ,0,4,48%,52%,7,10,2,6,,
 Quarter-finals , 03.07.2021 ,FALSE,FALSE,FALSE, Czech Republic , Denmark ,1,2,56%,44%,16,11,5,7,,
 Quarter-finals , 02.07.2021 ,FALSE,FALSE,FALSE, Belgium , Italy ,1,2,46%,54%,10,14,4,3,,
 Quarter-finals ,02.07.2021,TRUE,1,3, Switzerland , Spain ,1,1,27%,73%,8,28,2,10,,
 Round of 16 , 29.06.2021 ,FALSE,FALSE,FALSE, Sweden , Ukraine ,1,2,45%,55%,13,15,3,4,,
 Round of 16 , 29.06.2021 ,FALSE,FALSE,FALSE, England , Germany ,2,0,45%,55%,5,9,4,3,,
 Round of 16 ,28.06.2021,TRUE,4,5, France , Switzerland ,3,3,55%,45%,26,12,8,5,,
 Round of 16 , 28.06.2021 ,FALSE,FALSE,FALSE, Croatia , Spain ,3,5,32%,68%,12,23,7,10,,
 Round of 16 , 27.06.2021 ,FALSE,FALSE,FALSE, Belgium , Portugal ,1,0,42%,58%,6,23,1,4,,
 Round of 16 , 27.06.2021 ,FALSE,FALSE,FALSE, Netherlands , Czech Republic ,0,2,52%,48%,6,12,0,5,,
 Round of 16 , 26.06.2021 ,FALSE,FALSE,FALSE, Italy , Austria ,2,1,52%,48%,27,16,6,3,,
 Round of 16 , 26.06.2021 ,FALSE,FALSE,FALSE, Wales , Denmark ,0,4,47%,53%,11,16,1,8,,
 Group stage: Matchday 3 , 23.06.2021 ,FALSE,FALSE,FALSE, Portugal , France ,2,2,47%,53%,10,11,5,5,,
 Group stage: Matchday 3 , 23.06.2021 ,FALSE,FALSE,FALSE, Germany , Hungary ,2,2,76%,24%,18,9,7,4,,
 Group stage: Matchday 3 , 23.06.2021 ,FALSE,FALSE,FALSE, Sweden , Poland ,3,2,33%,67%,11,18,4,6,,
 Group stage: Matchday 3 , 23.06.2021 ,FALSE,FALSE,FALSE, Slovakia , Spain ,0,5,34%,66%,3,19,0,9,,
 Group stage: Matchday 3 , 22.06.2021 ,FALSE,FALSE,FALSE, Croatia , Scotland ,3,1,67%,33%,11,11,6,3,,
 Group stage: Matchday 3 , 22.06.2021 ,FALSE,FALSE,FALSE, Czech Republic , England ,0,1,43%,57%,7,5,1,3,,
 Group stage: Matchday 3 , 21.06.2021 ,FALSE,FALSE,FALSE, Finland , Belgium ,0,2,39%,61%,7,17,1,7,,
 Group stage: Matchday 3 , 21.06.2021 ,FALSE,FALSE,FALSE, Russia , Denmark ,1,4,35%,65%,6,16,2,10,,
 Group stage: Matchday 3 , 21.06.2021 ,FALSE,FALSE,FALSE, Ukraine , Austria ,0,1,51%,49%,5,18,1,4,,
 Group stage: Matchday 3 , 21.06.2021 ,FALSE,FALSE,FALSE, North Macedonia , Netherlands ,0,3,41%,59%,13,17,1,7,,
 Group stage: Matchday 3 , 20.06.2021 ,FALSE,FALSE,FALSE, Italy , Wales ,1,0,70%,30%,23,3,6,1,,
 Group stage: Matchday 3 , 20.06.2021 ,FALSE,FALSE,FALSE, Switzerland , Turkey ,3,1,51%,49%,23,19,10,6,,
 Group stage: Matchday 2 , 19.06.2021 ,FALSE,FALSE,FALSE, Spain , Poland ,1,1,77%,23%,12,5,5,2,,
 Group stage: Matchday 2 , 19.06.2021 ,FALSE,FALSE,FALSE, Portugal , Germany ,2,4,42%,58%,7,12,2,7,,
 Group stage: Matchday 2 , 19.06.2021 ,FALSE,FALSE,FALSE, Hungary , France ,1,1,33%,67%,5,15,3,4,,
 Group stage: Matchday 2 , 18.06.2021 ,FALSE,FALSE,FALSE, England , Scotland ,0,0,61%,39%,9,11,1,2,,
 Group stage: Matchday 2 , 18.06.2021 ,FALSE,FALSE,FALSE, Croatia , Czech Republic ,1,1,48%,52%,11,11,2,1,,
 Group stage: Matchday 2 , 18.06.2021 ,FALSE,FALSE,FALSE, Sweden , Slovakia ,1,0,41%,59%,13,10,4,0,,
 Group stage: Matchday 2 , 17.06.2021 ,FALSE,FALSE,FALSE, Netherlands , Austria ,2,0,46%,54%,14,9,4,1,,
 Group stage: Matchday 2 , 17.06.2021 ,FALSE,FALSE,FALSE, Denmark , Belgium ,1,2,47%,53%,21,6,5,5,,
 Group stage: Matchday 2 , 17.06.2021 ,FALSE,FALSE,FALSE, Ukraine , North Macedonia ,2,1,53%,47%,17,13,8,5,,
 Group stage: Matchday 2 , 16.06.2021 ,FALSE,FALSE,FALSE, Italy , Switzerland ,3,0,49%,51%,13,6,3,1,,
 Group stage: Matchday 2 , 16.06.2021 ,FALSE,FALSE,FALSE, Turkey , Wales ,0,2,64%,36%,18,16,6,7,,
 Group stage: Matchday 2 , 16.06.2021 ,FALSE,FALSE,FALSE, Finland , Russia ,0,1,41%,59%,11,14,1,3,,
 Group stage: Matchday 1 , 15.06.2021 ,FALSE,FALSE,FALSE, France , Germany ,1,0,38%,62%,4,10,1,1,,
 Group stage: Matchday 1 , 15.06.2021 ,FALSE,FALSE,FALSE, Hungary , Portugal ,0,3,30%,70%,5,11,3,7,,
 Group stage: Matchday 1 , 14.06.2021 ,FALSE,FALSE,FALSE, Spain , Sweden ,0,0,86%,14%,17,4,5,1,,
 Group stage: Matchday 1 , 14.06.2021 ,FALSE,FALSE,FALSE, Poland , Slovakia ,1,2,58%,42%,17,11,3,2,,
 Group stage: Matchday 1 , 14.06.2021 ,FALSE,FALSE,FALSE, Scotland , Czech Republic ,0,2,58%,42%,19,10,4,7,,
 Group stage: Matchday 1 , 13.06.2021 ,FALSE,FALSE,FALSE, Netherlands , Ukraine ,3,2,62%,38%,15,7,7,5,,
 Group stage: Matchday 1 , 13.06.2021 ,FALSE,FALSE,FALSE, Austria , North Macedonia ,3,1,63%,37%,10,7,6,2,,
 Group stage: Matchday 1 , 13.06.2021 ,FALSE,FALSE,FALSE, England , Croatia ,1,0,49%,51%,8,8,2,2,,
 Group stage: Matchday 1 , 12.06.2021 ,FALSE,FALSE,FALSE, Belgium , Russia ,3,0,67%,33%,9,5,4,1,,
 Group stage: Matchday 1 , 12.06.2021 ,FALSE,FALSE,FALSE, Denmark , Finland ,0,1,70%,30%,22,1,6,1,,
 Group stage: Matchday 1 , 12.06.2021 ,FALSE,FALSE,FALSE, Wales , Switzerland ,1,1,35%,65%,9,18,2,4,,
 Group stage: Matchday 1 , 11.06.2021 ,FALSE,FALSE,FALSE, Turkey , Italy ,0,3,36%,64%,3,24,0,8,,
